City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,16,NZ,1580454274,72,-46.19,168.86,57.99,18.99
1,longyearbyen,75,SJ,1580454098,85,78.22,15.64,24.8,14.99
2,hilo,40,US,1580454275,73,19.73,-155.09,73.4,3.36
3,luderitz,0,NA,1580454275,94,-26.65,15.16,62.78,12.73
4,hermanus,62,ZA,1580454275,87,-34.42,19.23,69.01,1.01
5,albany,1,US,1580454016,72,42.6,-73.97,23.0,0.92
6,kapaa,1,US,1580454093,78,22.08,-159.32,73.4,4.7
7,butaritari,0,KI,1580454276,77,3.07,172.79,85.08,15.3
8,puerto del rosario,0,ES,1580454276,41,28.5,-13.86,59.0,5.82
9,busselton,55,AU,1580454276,43,-33.65,115.33,68.0,5.01
10,atuona,3,PF,1580454276,75,-9.8,-139.03,81.43,16.46
11,atar,0,MR,1580454126,18,20.52,-13.05,59.72,10.96
12,hobart,37,AU,1580454003,15,-42.88,147.33,98.01,21.92
13,deputatskiy,100,RU,1580454246,99,69.3,139.9,-9.45,1.54
14,ushuaia,40,AR,1580454277,81,-54.8,-68.3,48.2,26.4
15,souillac,75,MU,1580454277,70,-20.52,57.52,84.2,11.41
16,ust-maya,99,RU,1580454278,97,60.42,134.53,-1.32,1.21
17,pevek,100,RU,1580454278,98,69.7,170.31,-19.59,6.71
18,piacabucu,59,BR,1580454278,84,-10.41,-36.43,77.14,5.79
19,nikolskoye,90,RU,1580454278,92,59.7,30.79,28.0,8.95
20,arraial do cabo,60,BR,1580454005,91,-22.97,-42.03,77.29,18.66
21,nyurba,64,RU,1580454279,94,63.28,118.33,-1.64,5.12
22,bengkulu,52,ID,1580454279,53,-3.8,102.27,89.2,7.2
23,santa cruz,75,BO,1580454096,94,-17.8,-63.17,69.8,6.93
24,kajaani,90,FI,1580454279,85,64.17,27.67,15.8,8.05
25,krasnouralsk,100,RU,1580454280,94,58.36,60.04,4.53,5.17
26,east london,11,ZA,1580454280,78,-33.02,27.91,77.0,11.41
27,barrow,1,US,1580454244,74,71.29,-156.79,-22.0,6.93
28,port macquarie,40,AU,1580454280,66,-31.43,152.92,87.8,17.22
29,healdsburg,1,US,1580454280,100,38.61,-122.87,54.0,4.63
30,rikitea,89,PF,1580454281,80,-23.12,-134.97,79.74,15.05
31,tezu,82,IN,1580454071,45,27.92,96.17,66.9,4.81
32,tilichiki,0,RU,1580454281,89,60.47,166.1,-13.67,8.79
33,bluff,53,NZ,1580454281,72,-46.6,168.33,57.99,18.99
34,basco,8,PH,1580454281,70,20.45,121.97,65.88,22.88
35,saskylakh,100,RU,1580454282,98,71.92,114.08,-17.36,8.43
36,san cristobal,40,VE,1580454131,73,7.77,-72.22,77.0,2.24
37,vaini,40,TO,1580454282,88,-21.2,-175.2,82.4,4.7
38,brookhaven,90,US,1580454266,93,31.58,-90.44,51.8,2.53
39,tiksi,100,RU,1580454282,98,71.69,128.87,-8.79,2.13
40,geraldton,21,AU,1580454283,33,-28.77,114.6,77.0,23.04
41,provideniya,66,RU,1580454283,81,64.38,-173.3,-9.36,1.3
